target,name,base,value,delta,lo,hi,rounds,confidence,significant
v3.0.0,fasthttp_only,9.1215e-08,1.3125e-07,47.722293105031135,43.061045234958286,56.3218390804598,10,0.9785,True
v3.0.0,static,2.0355000000000002e-07,3.018e-07,48.24984069053413,37.65948086229651,71.84959349593494,10,0.9785,True
v3.0.0,parameter,2.4035e-07,3.5135000000000003e-07,47.32490611247879,36.933385888845095,72.0321931589537,10,0.9785,True
v3.0.0,wildcard,2.748e-07,3.7945e-07,39.25134341057861,32.61660602050942,56.12403100775194,10,0.9785,True
v3.0.0,query_lookup,2.6645e-07,3.802e-07,44.55206531619358,31.81174805378626,54.073150457190366,10,0.9785,True
v3.0.0,header_lookup,2.6035e-07,4.1215e-07,55.386938602335874,50.38979447200567,72.57142857142857,10,0.9785,True
v3.0.0,locals,2.4694999999999997e-07,3.8714999999999997e-07,55.532241326295285,45.980198019801996,84.02585410895662,10,0.9785,True
v3.0.0,query_bind,1.41e-06,1.6545e-06,18.60405856189771,16.571834992887634,19.969856819894495,10,0.9785,True
v3.0.0,middleware_chain,2.298e-07,3.3295000000000003e-07,42.99772916440487,29.65487856838518,70.56585829766998,10,0.9785,True
v3.0.0,cors_simple,4.341e-07,6.225e-07,47.983545064223755,36.747787610619476,52.142161635832515,10,0.9785,True
v3.0.0,cors_preflight,9.281500000000001e-07,1.2145e-06,29.448486376933225,24.93583820962939,32.632961260669745,10,0.9785,True
v3.0.0,recover_no_panic,2.3055e-07,3.3165e-07,43.474737849133845,34.14053195712583,61.358201817312285,10,0.9785,True
v3.0.0,not_found_default,6.603500000000001e-07,5.38e-07,-18.782829539480407,-21.72928927116342,-10.850000000000005,10,0.9785,True
v3.0.0,not_found_custom,4.6135000000000004e-07,3.777e-07,-18.1611958824085,-24.76028126997656,-10.822798846750937,10,0.9785,True
v3.0.0,json_response,6.387e-07,7.3875e-07,13.973649612454642,9.83195754716981,18.588082901554404,10,0.9785,True
v3.0.0,json_bind,8.1175e-07,1.017e-06,24.54746219855508,20.947481756190946,27.930014151550253,10,0.9785,True
v3.0.0,json_response_1024,1.2195e-06,1.274e-06,3.837433719330585,2.358490566037741,7.465277777777768,10,0.9785,True
v3.0.0,json_bind_1024,1.714e-06,1.887e-06,8.868623037418955,6.459054209919257,15.289256198347111,10,0.9785,True
v3.0.0,json_response_16384,8.259e-06,8.1025e-06,-2.6481565084310987,-4.944785276073615,-1.0422979032844504,10,0.9785,True
v3.0.0,json_bind_16384,1.25225e-05,1.2431e-05,-0.17791038337686693,-1.00176782557454,1.3603717786227376,10,0.9785,False
v3.0.0,static_routes_100,5.425e-07,6.711500000000001e-07,18.252473187417806,12.928849078925131,32.00308463466357,10,0.9785,True
v3.0.0,static_routes_1000,3.4065e-06,3.635e-06,9.012112725086219,-0.9631260319207469,12.916423144360035,10,0.9785,False
v3,fasthttp_only,9.1215e-08,1.1690000000000001e-07,28.116639571821423,20.625950880243437,30.86498563676987,10,0.9785,True
v3,static,2.0355000000000002e-07,2.6070000000000005e-07,27.77665537017726,21.16009280742461,38.03349540788763,10,0.9785,True
v3,parameter,2.4035e-07,2.9125e-07,23.833682464868634,15.134529147982057,41.59959758551306,10,0.9785,True
v3,wildcard,2.748e-07,3.4039999999999995e-07,27.250627489123104,17.95710650672482,50.37694013303771,10,0.9785,True
v3,query_lookup,2.6645e-07,3.3835e-07,26.800177806369785,22.8519855595668,32.11077844311379,10,0.9785,True
v3,header_lookup,2.6035e-07,3.5664999999999995e-07,38.73497306135385,32.17576187101348,41.108986615678766,10,0.9785,True
v3,locals,2.4694999999999997e-07,3.4889999999999995e-07,42.03807646388857,33.29283110571082,70.36679536679537,10,0.9785,True
v3,query_bind,1.41e-06,8.548500000000001e-07,-39.03738479133736,-40.43736100815419,-37.85917496443811,10,0.9785,True
v3,middleware_chain,2.298e-07,2.853e-07,24.40984970728779,12.730184147317857,41.065375302663455,10,0.9785,True
v3,cors_simple,4.341e-07,6.068500000000001e-07,42.40818024214972,35.79571363429093,46.04400749063671,10,0.9785,True
v3,cors_preflight,9.281500000000001e-07,1.034e-06,11.155547694332268,7.236975471315632,13.29842931937173,10,0.9785,True
v3,recover_no_panic,2.3055e-07,2.827e-07,26.8120979220432,16.549441456350845,30.19643672910004,10,0.9785,True
v3,not_found_default,6.603500000000001e-07,3.551e-07,-45.60470345047196,-48.12196199734865,-39.06666666666666,10,0.9785,True
v3,not_found_custom,4.6135000000000004e-07,2.7455000000000003e-07,-40.01177791061982,-43.95908800340933,-34.98160073597057,10,0.9785,True
v3,json_response,6.387e-07,6.8545e-07,6.676882192333555,5.291863207547176,10.102556252870043,10,0.9785,True
v3,json_bind,8.1175e-07,9.336e-07,13.74628830490634,12.212009072460294,16.647369098160315,10,0.9785,True
v3,json_response_1024,1.2195e-06,1.246e-06,2.6382705524507166,-0.39308176100628645,4.139610389610393,10,0.9785,False
v3,json_bind_1024,1.714e-06,1.851e-06,6.792844927017461,5.345345345345343,10.802655401327698,10,0.9785,True
v3,json_response_16384,8.259e-06,8.212e-06,-1.645549004531044,-5.103198004082554,3.2150205761316775,10,0.9785,False
v3,json_bind_16384,1.25225e-05,1.2672e-05,0.7228865697948006,-0.18105959222231016,2.5002104554255444,10,0.9785,False
v3,static_routes_100,5.425e-07,6.18e-07,9.23705634709262,7.6052053405441855,17.330564470454956,10,0.9785,True
v3,static_routes_1000,3.4065e-06,3.6055e-06,6.2943481178431515,3.282602208296037,9.27985948477752,10,0.9785,True
main,fasthttp_only,9.1215e-08,1.0909999999999999e-07,19.926947525368767,16.864711653766484,21.73263629574309,10,0.9785,True
main,static,2.0355000000000002e-07,2.7139999999999996e-07,33.302554849439936,20.089285714285722,42.632113821138205,10,0.9785,True
main,parameter,2.4035e-07,2.9660000000000005e-07,27.19022320547575,15.333070555774553,41.26984126984128,10,0.9785,True
main,wildcard,2.748e-07,3.36e-07,25.202770622642046,16.637660981552393,40.84257206208426,10,0.9785,True
main,query_lookup,2.6645e-07,3.479e-07,31.57266718763758,27.535714285714285,38.65336658354115,10,0.9785,True
main,header_lookup,2.6035e-07,3.5195e-07,32.15356537609178,27.42424242424242,47.31808731808733,10,0.9785,True
main,locals,2.4694999999999997e-07,3.6275e-07,51.775705881645266,33.38607594936709,62.210424710424725,10,0.9785,True
main,query_bind,1.41e-06,6.8205e-07,-51.42677054573864,-53.06293706293705,-49.16234247590808,10,0.9785,True
main,middleware_chain,2.298e-07,3.0235e-07,31.50087222737219,19.21537229783827,46.40989063242984,10,0.9785,True
main,cors_simple,4.341e-07,5.4585e-07,28.232810006933875,19.813041495668028,33.15416564866847,10,0.9785,True
main,cors_preflight,9.281500000000001e-07,1.0017e-06,5.783031606498268,3.336096145876488,9.292559491762663,10,0.9785,True
main,recover_no_panic,2.3055e-07,2.8854999999999997e-07,24.511842696925168,8.204675782973103,35.43758967001433,10,0.9785,True
main,not_found_default,6.603500000000001e-07,3.511e-07,-46.836029089218535,-47.827367800854326,-43.6097405697915,10,0.9785,True
main,not_found_custom,4.6135000000000004e-07,2.8005e-07,-39.14374772279725,-43.655913978494624,-34.1588785046729,10,0.9785,True
main,json_response,6.387e-07,6.8905e-07,7.721593579536545,4.834021722502668,10.280081364418692,10,0.9785,True
main,json_bind,8.1175e-07,8.9755e-07,10.076332151030144,7.636539391010144,13.618876635034628,10,0.9785,True
main,json_response_1024,1.2195e-06,1.282e-06,4.340336970110248,0.6304176516942483,9.322033898305083,10,0.9785,True
main,json_bind_1024,1.714e-06,1.8435e-06,6.040666821708696,3.2432432432432323,14.878892733564019,10,0.9785,True
main,json_response_16384,8.259e-06,8.1775e-06,-1.9978313418746119,-3.4156041642297352,0.7852760736196229,10,0.9785,False
main,json_bind_16384,1.25225e-05,1.25545e-05,0.2740999241858777,-1.451218550358857,1.5271982996142741,10,0.9785,False
main,static_routes_100,5.425e-07,3.3595e-07,-38.42766570104911,-43.98436111604763,-36.618664671778575,10,0.9785,True
main,static_routes_1000,3.4065e-06,6.199500000000001e-07,-81.3577464076098,-82.05435417884279,-79.07440476190476,10,0.9785,True
main-fasthttp,fasthttp_only,9.1215e-08,1.042e-07,14.646313032506386,5.633201749706607,32.19592735277932,10,0.9785,True
main-fasthttp,static,2.0355000000000002e-07,2.1644999999999998e-07,9.903884312589817,-4.5754509458864945,19.20745920745921,10,0.9785,False
main-fasthttp,parameter,2.4035e-07,2.4535e-07,14.082646157270995,-9.972408356326367,19.152404237978793,10,0.9785,False
main-fasthttp,wildcard,2.748e-07,2.896e-07,12.463065244232109,-1.4885874958650347,18.79942487419124,10,0.9785,False
main-fasthttp,query_lookup,2.6645e-07,2.8485e-07,7.605020104961113,1.840056617126673,19.5887445887446,10,0.9785,True
main-fasthttp,header_lookup,2.6035e-07,3.051e-07,17.116807957107703,3.585049580472943,25.416666666666664,10,0.9785,True
main-fasthttp,locals,2.4694999999999997e-07,2.9470000000000006e-07,26.960138666628808,17.66336633663368,36.63127413127416,10,0.9785,True
main-fasthttp,query_bind,1.41e-06,6.4255e-07,-54.09072422872166,-56.188118811881196,-51.882876204595995,10,0.9785,True
main-fasthttp,middleware_chain,2.298e-07,2.3844999999999997e-07,11.700692272946679,4.59161147902869,15.72219855134216,10,0.9785,True
main-fasthttp,cors_simple,4.341e-07,4.8765e-07,11.993111858399796,9.4278606965174,18.96299902629015,10,0.9785,True
main-fasthttp,cors_preflight,9.281500000000001e-07,9.261e-07,-0.2883487631560766,-2.4528684370565657,1.0067848544539348,10,0.9785,False
main-fasthttp,recover_no_panic,2.3055e-07,2.3819999999999998e-07,6.783484171613385,0.040371417036744184,22.052586938083117,10,0.9785,True
main-fasthttp,not_found_default,6.603500000000001e-07,2.865e-07,-54.83025351581856,-58.12844583519594,-52.41718889883617,10,0.9785,True
main-fasthttp,not_found_custom,4.6135000000000004e-07,2.2494999999999999e-07,-51.41242666205083,-53.874313605857225,-43.977415307402765,10,0.9785,True
main-fasthttp,json_response,6.387e-07,6.436000000000001e-07,1.0646667711107671,-2.889150943396235,3.805051813471505,10,0.9785,False
main-fasthttp,json_bind,8.1175e-07,8.3775e-07,5.7396034767643656,0.6533484106043597,7.050045027659868,10,0.9785,True
main-fasthttp,json_response_1024,1.2195e-06,1.169e-06,-2.317183669118439,-7.239459029435158,0.9590235396687019,10,0.9785,False
main-fasthttp,json_bind_1024,1.714e-06,1.7585e-06,2.009714793124595,-0.748847926267282,10.899653979238755,10,0.9785,False
