goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3.0.0,,,,v3,,,,main,,,,main-fasthttp,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Request/json_response_16384,18498,0%,18498,0%,~,p=1.000 n=10,18498,0%,~,p=1.000 n=10,18498,0%,~,p=1.000 n=10,18498,0%,~,p=1.000 n=10
Request/json_bind_16384,16420,0%,16422,0%,+0.01%,p=0.000 n=10,16422,0%,+0.01%,p=0.000 n=10,16421,0%,+0.01%,p=0.000 n=10,16421,0%,+0.01%,p=0.000 n=10
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
geomean,,,,,?,,,,?,,,,?,,,,?,

,v2,,v3.0.0,,,,v3,,,,main,,,,main-fasthttp,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Request/fasthttp_only,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/wildcard,1,0%,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10,1,0%,~,p=1.000 n=10
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/locals,0,0%,1,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
