name,v2,v3,delta,lo,hi,rounds,confidence,significant
fasthttp_floor,2.593e-08,3.8275000000000004e-08,44.81782044612825,40.41095890410959,50.62424486508257,20,0.9586,True
static,9.654499999999998e-08,1.0305000000000001e-07,7.741663712813551,4.688637072460766,13.065843621399175,20,0.9586,True
parameter,1.1665e-07,1.19e-07,0.7545511129933846,-3.703703703703709,2.466960352422909,20,0.9586,False
wildcard,1.3219999999999998e-07,1.4769999999999998e-07,9.44092925327471,8.012326656394443,13.23529411764708,20,0.9586,True
query_lookup,1.304e-07,1.3155e-07,2.675545122116385,-1.4251781472684022,5.045180722891551,20,0.9586,False
header_lookup,1.5145e-07,1.5325e-07,3.2395439858007524,-0.5252790544977071,6.2801932367149815,20,0.9586,False
locals,1.1455000000000002e-07,1.614e-07,39.314297981966504,32.330300909727086,44.55626715462031,20,0.9586,True
query_bind,1.2e-06,6.166500000000001e-07,-48.11700654106368,-49.75671140939597,-47.174103237095366,20,0.9586,True
middleware_chain,1.1395e-07,1.1465000000000001e-07,-0.21570077911371444,-2.454991816693941,2.194907813871816,20,0.9586,False
cors_simple,2.5945e-07,3.465e-07,33.668839693965324,31.390593047034777,36.09874544718738,20,0.9586,True
cors_preflight,7.1325e-07,7.61e-07,8.394537106507682,4.634010576120229,10.81321285735446,20,0.9586,True
recover_no_panic,1.1745000000000001e-07,1.12e-07,-5.767472376634575,-6.930693069306926,-2.3391812865497075,20,0.9586,True
not_found_default,4.6864999999999995e-07,1.6575e-07,-64.44648439619388,-64.96111338518216,-63.90006351894982,20,0.9586,True
not_found_custom,3.1145000000000005e-07,1.0545000000000001e-07,-66.69874891579599,-67.63951250801796,-65.57711950970378,20,0.9586,True
json_response,4.455e-07,4.735e-07,4.806885577392039,2.2508792497069274,7.175502742230333,20,0.9586,True
json_bind,5.88e-07,6.7945e-07,17.2197277339897,12.830145719489995,19.80269058295965,20,0.9586,True
json_response_1024,1.0065e-06,1.038e-06,1.3256189629725412,-3.29447541814496,3.875236294896034,20,0.9586,False
json_bind_1024,1.419e-06,1.6585e-06,13.216808637561916,11.16788321167883,15.999999999999993,20,0.9586,True
json_response_16384,8.229e-06,8.2005e-06,-0.5674407348321586,-2.2075820619509967,1.805979255643675,20,0.9586,False
json_bind_16384,1.24975e-05,1.38895e-05,8.209041076157675,6.693462390287919,17.07336459740878,20,0.9586,True
static_routes_100,4.4069999999999997e-07,4.4125e-07,-1.4245349860093848,-3.0456852791878153,2.6997123257358036,20,0.9586,False
static_routes_1000,3.4085e-06,3.4015e-06,1.1476386012768014,-3.519313304721028,3.6418816388467334,20,0.9586,False
