goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3,,,
,sec/op,CI,sec/op,CI,vs base,P
Request/fasthttp_floor,2.593e-08,5%,3.8275000000000004e-08,3%,+47.61%,p=0.000 n=20
Request/static,9.6545e-08,5%,1.0305000000000001e-07,7%,+6.74%,p=0.002 n=20
Request/parameter,1.1665e-07,9%,1.1900000000000001e-07,4%,~,p=0.947 n=20
Request/wildcard,1.322e-07,3%,1.4770000000000003e-07,4%,+11.72%,p=0.000 n=20
Request/query_lookup,1.304e-07,3%,1.3154999999999998e-07,6%,~,p=0.286 n=20
Request/header_lookup,1.5145000000000002e-07,4%,1.5325000000000003e-07,5%,~,p=0.277 n=20
Request/locals,1.1455000000000002e-07,3%,1.614e-07,6%,+40.90%,p=0.000 n=20
Request/query_bind,1.2000000000000002e-06,3%,6.166500000000001e-07,4%,-48.61%,p=0.000 n=20
Request/middleware_chain,1.1395000000000001e-07,5%,1.1465000000000001e-07,4%,~,p=0.846 n=20
Request/cors_simple,2.5945e-07,10%,3.465e-07,7%,+33.55%,p=0.000 n=20
Request/cors_preflight,7.132500000000001e-07,3%,7.61e-07,7%,+6.69%,p=0.002 n=20
Request/recover_no_panic,1.1745000000000001e-07,3%,1.1200000000000001e-07,4%,-4.64%,p=0.014 n=20
Request/not_found_default,4.6865000000000006e-07,4%,1.6575e-07,3%,-64.63%,p=0.000 n=20
Request/not_found_custom,3.1145e-07,9%,1.0545000000000001e-07,4%,-66.14%,p=0.000 n=20
Request/json_response,4.455e-07,5%,4.735e-07,4%,+6.29%,p=0.021 n=20
Request/json_bind,5.880000000000001e-07,4%,6.794500000000001e-07,2%,+15.55%,p=0.000 n=20
Request/json_response_1024,1.0065e-06,10%,1.038e-06,6%,~,p=0.654 n=20
Request/json_bind_1024,1.419e-06,11%,1.6585e-06,6%,+16.88%,p=0.001 n=20
Request/json_response_16384,8.229e-06,7%,8.2005e-06,10%,~,p=0.947 n=20
Request/json_bind_16384,1.24975e-05,4%,1.3889500000000001e-05,7%,+11.14%,p=0.001 n=20
Request/static_routes_100,4.407e-07,3%,4.4125e-07,4%,~,p=0.799 n=20
Request/static_routes_1000,3.4085000000000005e-06,4%,3.4015000000000004e-06,2%,~,p=0.920 n=20
geomean,4.0399912076871284e-07,,3.854693529836386e-07,,-4.59%,

,v2,,v3,,,
,B/op,CI,B/op,CI,vs base,P
Request/fasthttp_floor,0,0%,0,0%,~,p=1.000 n=20
Request/static,0,0%,0,0%,~,p=1.000 n=20
Request/parameter,0,0%,0,0%,~,p=1.000 n=20
Request/wildcard,2,0%,2,0%,~,p=1.000 n=20
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=20
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=20
Request/locals,0,0%,16,0%,?,p=0.000 n=20
Request/query_bind,496,0%,64,0%,-87.10%,p=0.000 n=20
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=20
Request/cors_simple,0,0%,16,0%,?,p=0.000 n=20
Request/cors_preflight,144,0%,208,0%,+44.44%,p=0.000 n=20
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=20
Request/not_found_default,56,0%,0,0%,-100.00%,p=0.000 n=20
Request/not_found_custom,48,0%,0,0%,-100.00%,p=0.000 n=20
Request/json_response,112,0%,112,0%,~,p=1.000 n=20
Request/json_bind,32,0%,32,0%,~,p=1.000 n=20
Request/json_response_1024,1216,0%,1216,0%,~,p=1.000 n=20
Request/json_bind_1024,1056,0%,1056,0%,~,p=1.000 n=20
Request/json_response_16384,18498,0%,18498,0%,~,p=1.000 n=20
Request/json_bind_16384,16420,0%,16422,0%,+0.01%,p=0.000 n=20
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=20
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=20
geomean,,,,,?,

,v2,,v3,,,
,allocs/op,CI,allocs/op,CI,vs base,P
Request/fasthttp_floor,0,0%,0,0%,~,p=1.000 n=20
Request/static,0,0%,0,0%,~,p=1.000 n=20
Request/parameter,0,0%,0,0%,~,p=1.000 n=20
Request/wildcard,1,0%,1,0%,~,p=1.000 n=20
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=20
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=20
Request/locals,0,0%,1,0%,?,p=0.000 n=20
Request/query_bind,22,0%,3,0%,-86.36%,p=0.000 n=20
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=20
Request/cors_simple,0,0%,1,0%,?,p=0.000 n=20
Request/cors_preflight,2,0%,4,0%,+100.00%,p=0.000 n=20
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=20
Request/not_found_default,3,0%,0,0%,-100.00%,p=0.000 n=20
Request/not_found_custom,2,0%,0,0%,-100.00%,p=0.000 n=20
Request/json_response,3,0%,3,0%,~,p=1.000 n=20
Request/json_bind,1,0%,1,0%,~,p=1.000 n=20
Request/json_response_1024,3,0%,3,0%,~,p=1.000 n=20
Request/json_bind_1024,2,0%,2,0%,~,p=1.000 n=20
Request/json_response_16384,3,0%,3,0%,~,p=1.000 n=20
Request/json_bind_16384,2,0%,2,0%,~,p=1.000 n=20
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=20
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=20
geomean,,,,,?,
