goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3,,,
,sec/op,CI,sec/op,CI,vs base,P
Request/fasthttp_floor,3.0195e-08,73%,4.3169999999999995e-08,56%,+42.97%,p=0.015 n=10
Request/static,1.1345e-07,81%,1.406e-07,51%,~,p=0.210 n=10
Request/parameter,1.649e-07,60%,1.4095e-07,89%,~,p=0.643 n=10
Request/wildcard,1.535e-07,80%,1.6615000000000002e-07,95%,~,p=0.165 n=10
Request/query_lookup,1.6435e-07,76%,1.522e-07,71%,~,p=0.725 n=10
Request/header_lookup,1.8215000000000003e-07,46%,1.7415e-07,67%,~,p=0.868 n=10
Request/locals,1.4305000000000003e-07,15%,2.0130000000000004e-07,53%,+40.72%,p=0.000 n=10
Request/query_bind,1.3770000000000001e-06,45%,7.38e-07,42%,-46.41%,p=0.000 n=10
Request/middleware_chain,1.4060000000000003e-07,39%,1.4035e-07,71%,~,p=0.684 n=10
Request/cors_simple,3.118e-07,80%,4.5175000000000006e-07,54%,+44.88%,p=0.007 n=10
Request/cors_preflight,1.03065e-06,33%,9.576000000000002e-07,31%,~,p=0.971 n=10
Request/recover_no_panic,1.5445e-07,46%,1.3859999999999998e-07,11%,~,p=0.123 n=10
Request/not_found_default,5.6555e-07,48%,2.011e-07,9%,-64.44%,p=0.000 n=10
Request/not_found_custom,3.6585000000000006e-07,70%,1.2580000000000003e-07,21%,-65.61%,p=0.000 n=10
Request/json_response,5.4025e-07,48%,5.8495e-07,44%,~,p=0.436 n=10
Request/json_bind,6.862000000000001e-07,48%,8.071000000000001e-07,45%,+17.62%,p=0.005 n=10
Request/json_response_1024,1.1835000000000002e-06,50%,1.1605000000000002e-06,62%,~,p=0.631 n=10
Request/json_bind_1024,1.7685e-06,34%,1.9465e-06,54%,~,p=0.089 n=10
Request/json_response_16384,9.3685e-06,63%,1.07205e-05,32%,~,p=0.684 n=10
Request/json_bind_16384,1.7269e-05,50%,1.98455e-05,53%,~,p=0.353 n=10
Request/static_routes_100,5.428000000000001e-07,77%,5.338500000000001e-07,79%,~,p=0.971 n=10
Request/static_routes_1000,4.121e-06,48%,4.049e-06,77%,~,p=0.912 n=10
geomean,4.968326276638113e-07,,4.6904461903103327e-07,,-5.59%,

,v2,,v3,,,
,B/op,CI,B/op,CI,vs base,P
Request/fasthttp_floor,0,0%,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10
Request/wildcard,2,0%,2,0%,~,p=1.000 n=10
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=10
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=10
Request/locals,0,0%,16,0%,?,p=0.000 n=10
Request/query_bind,496,0%,64,0%,-87.10%,p=0.000 n=10
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=10
Request/cors_simple,0,0%,16,0%,?,p=0.000 n=10
Request/cors_preflight,144,0%,208,0%,+44.44%,p=0.000 n=10
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=10
Request/not_found_default,56,0%,0,0%,-100.00%,p=0.000 n=10
Request/not_found_custom,48,0%,0,0%,-100.00%,p=0.000 n=10
Request/json_response,112,0%,112,0%,~,p=1.000 n=10
Request/json_bind,32,0%,32,0%,~,p=1.000 n=10
Request/json_response_1024,1216,0%,1216,0%,~,p=1.000 n=10
Request/json_bind_1024,1232,2%,1235,9%,~,p=0.447 n=10
Request/json_response_16384,18498,0%,18498,0%,~,p=1.000 n=10
Request/json_bind_16384,36929,0%,36934,0%,+0.01%,p=0.000 n=10
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=10
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=10
geomean,,,,,?,

,v2,,v3,,,
,allocs/op,CI,allocs/op,CI,vs base,P
Request/fasthttp_floor,0,0%,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10
Request/wildcard,1,0%,1,0%,~,p=1.000 n=10
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=10
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=10
Request/locals,0,0%,1,0%,?,p=0.000 n=10
Request/query_bind,22,0%,3,0%,-86.36%,p=0.000 n=10
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=10
Request/cors_simple,0,0%,1,0%,?,p=0.000 n=10
Request/cors_preflight,2,0%,4,0%,+100.00%,p=0.000 n=10
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=10
Request/not_found_default,3,0%,0,0%,-100.00%,p=0.000 n=10
Request/not_found_custom,2,0%,0,0%,-100.00%,p=0.000 n=10
Request/json_response,3,0%,3,0%,~,p=1.000 n=10
Request/json_bind,1,0%,1,0%,~,p=1.000 n=10
Request/json_response_1024,3,0%,3,0%,~,p=1.000 n=10
Request/json_bind_1024,2,0%,2,0%,~,p=1.000 n=10
Request/json_response_16384,3,0%,3,0%,~,p=1.000 n=10
Request/json_bind_16384,5,0%,5,0%,~,p=1.000 n=10
Request/static_routes_100,0,0%,0,0%,~,p=1.000 n=10
Request/static_routes_1000,0,0%,0,0%,~,p=1.000 n=10
geomean,,,,,?,
