goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3.0.0,,,,v3,,,,main,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Request/fasthttp_only,9.829000000000002e-08,15%,1.443e-07,16%,+46.81%,p=0.000 n=10,1.2575e-07,8%,+27.94%,p=0.000 n=10,1.256e-07,10%,+27.79%,p=0.001 n=10
Request/static,2.2755e-07,12%,3.3965e-07,11%,+49.26%,p=0.001 n=10,2.804e-07,14%,+23.23%,p=0.002 n=10,2.742e-07,10%,+20.50%,p=0.003 n=10
Request/parameter,2.5555000000000004e-07,12%,3.7915e-07,14%,+48.37%,p=0.000 n=10,3.172e-07,14%,+24.12%,p=0.001 n=10,3.1735e-07,11%,+24.18%,p=0.001 n=10
Request/wildcard,2.8800000000000004e-07,12%,4.1535e-07,10%,+44.22%,p=0.000 n=10,3.7020000000000007e-07,8%,+28.54%,p=0.000 n=10,3.7515e-07,7%,+30.26%,p=0.000 n=10
Request/query_lookup,2.8725e-07,8%,4.0385000000000006e-07,7%,+40.59%,p=0.000 n=10,3.6070000000000005e-07,8%,+25.57%,p=0.000 n=10,3.6280000000000005e-07,9%,+26.30%,p=0.000 n=10
Request/header_lookup,2.8485e-07,10%,4.4255e-07,8%,+55.36%,p=0.000 n=10,3.8275000000000006e-07,13%,+34.37%,p=0.000 n=10,3.8275000000000006e-07,11%,+34.37%,p=0.000 n=10
Request/locals,2.6135e-07,10%,4.181e-07,9%,+59.98%,p=0.000 n=10,3.6995000000000005e-07,7%,+41.55%,p=0.000 n=10,3.6305e-07,6%,+38.91%,p=0.000 n=10
Request/query_bind,1.4775e-06,4%,1.776e-06,7%,+20.20%,p=0.001 n=10,8.920000000000001e-07,7%,-39.63%,p=0.000 n=10,7.013500000000001e-07,6%,-52.53%,p=0.000 n=10
Request/middleware_chain,2.4000000000000003e-07,17%,3.484e-07,11%,+45.17%,p=0.000 n=10,3.0259999999999997e-07,10%,+26.08%,p=0.000 n=10,3.0185e-07,20%,+25.77%,p=0.000 n=10
Request/cors_simple,4.565e-07,7%,6.480000000000001e-07,7%,+41.95%,p=0.000 n=10,6.1625e-07,9%,+34.99%,p=0.000 n=10,5.754500000000001e-07,13%,+26.06%,p=0.000 n=10
Request/cors_preflight,9.961e-07,8%,1.272e-06,4%,+27.70%,p=0.000 n=10,1.1065000000000001e-06,7%,+11.08%,p=0.007 n=10,1.052e-06,7%,~,p=0.075 n=10
Request/recover_no_panic,2.5265000000000003e-07,13%,3.5010000000000004e-07,9%,+38.57%,p=0.000 n=10,3.0735e-07,9%,+21.65%,p=0.000 n=10,3.0675000000000007e-07,10%,+21.41%,p=0.000 n=10
Request/not_found_default,6.900500000000001e-07,11%,5.861e-07,8%,-15.06%,p=0.000 n=10,4.0110000000000006e-07,11%,-41.87%,p=0.000 n=10,3.6195000000000003e-07,11%,-47.55%,p=0.000 n=10
Request/not_found_custom,5.057000000000001e-07,6%,3.9565e-07,13%,-21.76%,p=0.000 n=10,3.0285000000000004e-07,11%,-40.11%,p=0.000 n=10,2.8815000000000005e-07,8%,-43.02%,p=0.000 n=10
Request/json_response,7.1725e-07,14%,7.859500000000001e-07,13%,~,p=0.075 n=10,7.020500000000001e-07,16%,~,p=0.971 n=10,7.206e-07,18%,~,p=0.393 n=10
Request/json_bind,8.799e-07,12%,1.0955000000000001e-06,8%,+24.50%,p=0.000 n=10,1.00705e-06,15%,+14.45%,p=0.009 n=10,9.569e-07,15%,+8.75%,p=0.023 n=10
Request/json_response_1024,1.308e-06,24%,1.3840000000000002e-06,18%,~,p=0.225 n=10,1.3210000000000001e-06,14%,~,p=0.839 n=10,1.3220000000000002e-06,21%,~,p=0.853 n=10
Request/json_bind_1024,1.8510000000000002e-06,9%,2.076e-06,10%,+12.16%,p=0.004 n=10,2.032e-06,9%,+9.78%,p=0.015 n=10,1.962e-06,8%,~,p=0.105 n=10
Request/json_response_16384,8.878e-06,15%,8.772e-06,6%,~,p=0.353 n=10,8.8865e-06,13%,~,p=0.796 n=10,8.7815e-06,9%,~,p=0.481 n=10
Request/json_bind_16384,1.3698e-05,11%,1.3572500000000001e-05,11%,~,p=0.971 n=10,1.40445e-05,18%,~,p=0.579 n=10,1.3650500000000001e-05,15%,~,p=0.912 n=10
Request/static_routes_100,5.915500000000001e-07,15%,7.215500000000001e-07,17%,+21.98%,p=0.001 n=10,6.966e-07,9%,+17.76%,p=0.005 n=10,3.7015e-07,13%,-37.43%,p=0.000 n=10
Request/static_routes_1000,3.826e-06,14%,3.991500000000001e-06,15%,~,p=0.481 n=10,4.117500000000001e-06,7%,~,p=0.165 n=10,6.823500000000001e-07,19%,-82.17%,p=0.000 n=10
geomean,6.805667035749829e-07,,8.375797598885989e-07,,+23.07%,,7.301002746425527e-07,,+7.28%,,6.350479921479093e-07,,-6.69%,

,v2,,v3.0.0,,,,v3,,,,main,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P
Request/fasthttp_only,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/static,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/parameter,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/wildcard,2,0%,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10,2,0%,~,p=1.000 n=10
Request/query_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/header_lookup,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/locals,0,0%,16,0%,?,p=0.000 n=10,16,0%,?,p=0.000 n=10,16,0%,?,p=0.000 n=10
Request/query_bind,496,0%,512,0%,+3.23%,p=0.000 n=10,64,0%,-87.10%,p=0.000 n=10,32,0%,-93.55%,p=0.000 n=10
Request/middleware_chain,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/cors_simple,0,0%,16,0%,?,p=0.000 n=10,16,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10
Request/cors_preflight,144,0%,208,0%,+44.44%,p=0.000 n=10,208,0%,+44.44%,p=0.000 n=10,144,0%,~,p=1.000 n=10
Request/recover_no_panic,0,0%,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10,0,0%,~,p=1.000 n=10
Request/not_found_default,56,0%,8,0%,-85.71%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10
Request/not_found_custom,48,0%,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10,0,0%,-100.00%,p=0.000 n=10
Request/json_response,112,0%,112,0%,~,p=1.000 n=10,112,0%,~,p=1.000 n=10,112,0%,~,p=1.000 n=10
