name,v2,v3,delta,lo,hi,rounds,confidence,significant
fasthttp_floor,2.4975e-08,3.5554999999999996e-08,42.84489756685437,40.86021505376345,45.93949044585985,10,0.9785,True
static,9.215e-08,9.843e-08,8.616402151369362,3.250132766861369,11.335804965734164,10,0.9785,True
parameter,1.113e-07,1.1315e-07,0.3576390958105913,-3.3678756476683835,4.900181488203259,10,0.9785,False
wildcard,1.284e-07,1.4555e-07,13.539449320073826,10.224632068164219,17.374517374517385,10,0.9785,True
query_lookup,1.2484999999999998e-07,1.2875e-07,3.5837372256761313,-1.224177505738333,8.013082583810306,10,0.9785,False
header_lookup,1.4519999999999998e-07,1.476e-07,1.9169186912520342,-1.9607843137254943,4.1814316087881,10,0.9785,False
locals,1.12e-07,1.48e-07,32.84995851333612,27.571305099394984,36.6852886405959,10,0.9785,True
query_bind,1.122e-06,5.664e-07,-50.208708310439995,-50.8846487424111,-48.718411552346566,10,0.9785,True
middleware_chain,1.119e-07,1.1134999999999999e-07,-0.17769862565033545,-6.011854360711255,1.6363636363636358,10,0.9785,False
cors_simple,2.4715e-07,3.291e-07,32.10077535583942,29.967558799675587,35.481239804241426,10,0.9785,True
cors_preflight,6.555999999999999e-07,6.953499999999999e-07,6.168843409710112,5.347106182591532,8.558490566037747,10,0.9785,True
recover_no_panic,1.1315e-07,1.0765e-07,-4.994163368732741,-6.972639011473958,-2.767857142857133,10,0.9785,True
not_found_default,4.3310000000000003e-07,1.6069999999999998e-07,-63.088959132987135,-63.93708073097386,-62.65367664115055,10,0.9785,True
not_found_custom,2.9269999999999997e-07,1.017e-07,-65.17642032918025,-66.18769336541767,-63.41379310344828,10,0.9785,True
json_response,4.207e-07,4.441e-07,5.992842164971157,5.194497153700195,7.265459675523145,10,0.9785,True
json_bind,5.4215e-07,6.284e-07,15.50194344792133,15.004574565416284,16.49011299435028,10,0.9785,True
json_response_1024,9.4895e-07,9.649e-07,1.7104221246588835,0.7466610579450972,6.297548605240921,10,0.9785,True
json_bind_1024,1.3625e-06,1.5755e-06,15.453751546466776,9.844192634560912,18.77761413843888,10,0.9785,True
json_response_16384,7.733e-06,7.6945e-06,0.7029118973331361,-2.413617886178865,1.7592227911251257,10,0.9785,False
json_bind_16384,1.1649e-05,1.2416e-05,6.692390609356513,2.926018287614296,30.36357400102898,10,0.9785,True
static_routes_100,4.3170000000000003e-07,4.2055e-07,-2.113459759973635,-5.401755570560429,1.5884139219808358,10,0.9785,False
static_routes_1000,3.191e-06,3.3225e-06,1.000848122700848,-0.1519756838905817,4.552590266875978,10,0.9785,False
