target,name,base,value,delta,lo,hi,rounds,confidence,significant
v3.0.0,fasthttp_floor,9.016499999999999e-08,1.349e-07,51.96259850130473,42.10870988867057,59.93719156572455,10,0.9785,True
v3.0.0,static,2.0794999999999998e-07,3.12e-07,49.3370118472507,39.51002227171492,74.84143763213534,10,0.9785,True
v3.0.0,parameter,2.4630000000000003e-07,3.5060000000000003e-07,41.42256393596475,35.16090584028606,65.33632286995514,10,0.9785,True
v3.0.0,wildcard,2.721e-07,3.915e-07,44.09488850757042,32.42343541944075,58.40354767184035,10,0.9785,True
v3.0.0,query_lookup,2.7185000000000004e-07,3.72e-07,44.04270978704072,29.335727109515265,54.943729903536976,10,0.9785,True
v3.0.0,header_lookup,2.705e-07,4.04e-07,50.78856749822847,46.46390619274461,73.68195456493784,10,0.9785,True
v3.0.0,locals,2.4095e-07,3.8779999999999997e-07,62.077292245516546,48.94352669996158,80.19525801952582,10,0.9785,True
v3.0.0,query_bind,1.3685e-06,1.665e-06,20.673052916924696,15.656909462219204,24.29210134128168,10,0.9785,True
v3.0.0,middleware_chain,2.272e-07,3.2760000000000005e-07,40.88901767603592,35.999999999999986,73.68946580129803,10,0.9785,True
v3.0.0,cors_simple,4.2075e-07,6.088499999999999e-07,47.378640776699044,31.273785538392662,52.23296500920811,10,0.9785,True
v3.0.0,cors_preflight,9.621500000000002e-07,1.2015e-06,26.88534765230035,22.917556599743705,29.463792150359325,10,0.9785,True
v3.0.0,recover_no_panic,2.325e-07,3.2779999999999996e-07,43.558156975486774,33.45991561181436,64.9494463168031,10,0.9785,True
v3.0.0,not_found_default,6.345e-07,5.3735e-07,-14.875825111259356,-20.106288751107158,-12.935975110528897,10,0.9785,True
v3.0.0,not_found_custom,4.6664999999999996e-07,3.7225e-07,-18.492852633332667,-27.124922823626253,-12.86413423444419,10,0.9785,True
v3.0.0,json_response,6.457e-07,7.154500000000001e-07,13.374090849889564,8.260267651130594,15.938588160810397,10,0.9785,True
v3.0.0,json_bind,8.095499999999999e-07,1.011e-06,25.079022018100773,22.2707423580786,27.252110369157112,10,0.9785,True
v3.0.0,json_response_1024,1.195e-06,1.2815e-06,5.085197636915728,4.132901134521871,10.690235690235683,10,0.9785,True
v3.0.0,json_bind_1024,1.669e-06,1.873e-06,10.999350454353163,9.282460136674263,13.261240751280589,10,0.9785,True
v3.0.0,json_response_16384,8.1425e-06,7.9245e-06,-2.926774822081679,-5.299251870324184,0.811181829527019,10,0.9785,False
v3.0.0,json_bind_16384,1.23345e-05,1.20485e-05,-0.7033410654385785,-5.861036710256817,0.277941548050209,10,0.9785,False
v3.0.0,static_routes_100,5.2955e-07,6.4835e-07,20.299192174718293,9.891756869275593,32.63350998777008,10,0.9785,True
v3.0.0,static_routes_1000,3.3715e-06,3.544e-06,4.05553734861317,-0.7905138339920903,14.624759461193083,10,0.9785,False
v3,fasthttp_floor,9.016499999999999e-08,1.167e-07,30.16299910647151,18.68660462198055,35.96539869136075,10,0.9785,True
v3,static,2.0794999999999998e-07,2.6225e-07,33.2036302696054,19.043015949734166,49.24114671163575,10,0.9785,True
