goos: linux
goarch: amd64
cpu: AMD EPYC
,v2,,v3.0.0,,,,v3,,,,main,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Request/fasthttp_floor,9.3205e-08,3%,1.3945e-07,7%,+49.62%,p=0.000 n=10,1.1870000000000001e-07,5%,+27.35%,p=0.000 n=10,1.1460000000000001e-07,12%,+22.95%,p=0.000 n=10
Request/static,2.1005e-07,12%,3.0885e-07,5%,+47.04%,p=0.000 n=10,2.679e-07,5%,+27.54%,p=0.000 n=10,2.707e-07,11%,+28.87%,p=0.000 n=10
Request/parameter,2.4835e-07,12%,3.6115000000000003e-07,7%,+45.42%,p=0.000 n=10,3.0089999999999995e-07,5%,+21.16%,p=0.000 n=10,2.856e-07,10%,+15.00%,p=0.000 n=10
Request/wildcard,2.779e-07,15%,4.004e-07,6%,+44.08%,p=0.000 n=10,3.579e-07,11%,+28.79%,p=0.000 n=10,3.5130000000000003e-07,5%,+26.41%,p=0.000 n=10
Request/query_lookup,2.8110000000000005e-07,9%,3.9930000000000004e-07,10%,+42.05%,p=0.000 n=10,3.55e-07,7%,+26.29%,p=0.000 n=10,3.5375e-07,7%,+25.84%,p=0.000 n=10
Request/header_lookup,2.7225e-07,9%,4.1895000000000003e-07,4%,+53.88%,p=0.000 n=10,3.6385e-07,7%,+33.65%,p=0.000 n=10,3.5605000000000007e-07,9%,+30.78%,p=0.000 n=10
Request/locals,2.5760000000000003e-07,13%,4.0445e-07,6%,+57.01%,p=0.000 n=10,3.5580000000000005e-07,6%,+38.12%,p=0.000 n=10,3.4915e-07,12%,+35.54%,p=0.000 n=10
Request/query_bind,1.475e-06,6%,1.7580000000000002e-06,5%,+19.19%,p=0.000 n=10,8.9495e-07,23%,-39.33%,p=0.000 n=10,7.072500000000001e-07,6%,-52.05%,p=0.000 n=10
Request/middleware_chain,2.3295000000000003e-07,15%,3.449500000000001e-07,7%,+48.08%,p=0.000 n=10,2.9475e-07,11%,+26.53%,p=0.000 n=10,2.9240000000000005e-07,7%,+25.52%,p=0.000 n=10
Request/cors_simple,4.4090000000000004e-07,5%,6.395500000000001e-07,6%,+45.06%,p=0.000 n=10,6.082500000000001e-07,6%,+37.96%,p=0.000 n=10,5.6365e-07,5%,+27.84%,p=0.000 n=10
