target,name,base,value,delta,lo,hi,rounds,confidence,significant
v3.0.0,fasthttp_floor,9.320499999999999e-08,1.3945e-07,50.277705807745555,47.73555439875066,58.33245604800508,10,0.9785,True
v3.0.0,static,2.1005e-07,3.0885e-07,45.63147175309119,37.36702127659575,74.7708894878706,10,0.9785,True
v3.0.0,parameter,2.4834999999999997e-07,3.6115e-07,51.42337401226156,30.252734817050154,69.69162995594714,10,0.9785,True
v3.0.0,wildcard,2.7789999999999997e-07,4.0039999999999996e-07,48.7203150710086,36.170212765957444,56.30877742946707,10,0.9785,True
v3.0.0,query_lookup,2.8110000000000005e-07,3.9929999999999993e-07,47.83921492588763,35.59972105997209,64.66692637319828,10,0.9785,True
v3.0.0,header_lookup,2.7225e-07,4.1895e-07,50.6845617276086,43.9919219118142,61.568938193343904,10,0.9785,True
v3.0.0,locals,2.5760000000000003e-07,4.0445e-07,61.29093524570062,44.838581108011155,73.04618117229128,10,0.9785,True
v3.0.0,query_bind,1.475e-06,1.758e-06,18.388163388928724,16.97054698457223,23.367198838896954,10,0.9785,True
v3.0.0,middleware_chain,2.3294999999999998e-07,3.4495000000000003e-07,51.31112123910064,36.51383725733168,75.03966155473296,10,0.9785,True
v3.0.0,cors_simple,4.409e-07,6.3955e-07,50.72485040590327,35.10432351043236,54.08041874851297,10,0.9785,True
v3.0.0,cors_preflight,1.00075e-06,1.2485e-06,26.33607381382341,22.189054726368163,31.502890173410414,10,0.9785,True
v3.0.0,recover_no_panic,2.3215e-07,3.4395000000000006e-07,45.01031876828057,34.78077571669478,74.10296411856474,10,0.9785,True
v3.0.0,not_found_default,6.472999999999999e-07,5.5275e-07,-18.291956904443364,-26.678908709338923,-9.303063978409277,10,0.9785,True
v3.0.0,not_found_custom,4.7765e-07,3.7654999999999997e-07,-21.394179191554198,-23.633340261899825,-12.28467815049864,10,0.9785,True
v3.0.0,json_response,6.781500000000001e-07,7.432999999999999e-07,9.58477900597634,5.520665985102968,15.347003154574136,10,0.9785,True
v3.0.0,json_bind,8.3815e-07,1.05e-06,25.141760450154305,15.769984752777177,27.526467757459084,10,0.9785,True
v3.0.0,json_response_1024,1.297e-06,1.2955e-06,2.89559543230018,-2.562170308967593,10.044642857142861,10,0.9785,False
v3.0.0,json_bind_1024,1.7285e-06,2.002e-06,11.375048118442477,7.844311377245505,15.916955017301039,10,0.9785,True
v3.0.0,json_response_16384,8.6145e-06,8.37e-06,-3.375301319788593,-8.315916840831594,-1.0904842269245707,10,0.9785,True
v3.0.0,json_bind_16384,1.3075e-05,1.2989e-05,-0.2063799781523601,-4.731955675351907,6.122284794851174,10,0.9785,False
v3.0.0,static_routes_100,5.483e-07,6.859000000000001e-07,23.595979506850284,13.405292479108644,28.506640751538704,10,0.9785,True
v3.0.0,static_routes_1000,3.618e-06,3.682e-06,3.6348985011014134,-4.184665226781858,6.692104490754325,10,0.9785,False
v3,fasthttp_floor,9.320499999999999e-08,1.187e-07,29.350758208562276,21.404718302272975,32.64554163596169,10,0.9785,True
v3,static,2.1005e-07,2.6789999999999996e-07,25.288629478578926,20.88607594936709,46.46354733405875,10,0.9785,True
v3,parameter,2.4834999999999997e-07,3.009e-07,24.21366589862133,11.77105831533476,40.064102564102555,10,0.9785,True
v3,wildcard,2.7789999999999997e-07,3.579e-07,29.482770218160013,18.906302100700255,54.36183927804039,10,0.9785,True
v3,query_lookup,2.8110000000000005e-07,3.55e-07,26.245803876304528,17.523944661227397,33.21441312879057,10,0.9785,True
v3,header_lookup,2.7225e-07,3.6385e-07,33.03500555202825,26.345609065155795,43.54971240755956,10,0.9785,True
v3,locals,2.5760000000000003e-07,3.558e-07,41.4423338411412,31.167795934635322,55.10657193605686,10,0.9785,True
v3,query_bind,1.475e-06,8.9495e-07,-38.37494379851076,-40.715287517531564,-34.59940652818992,10,0.9785,True
v3,middleware_chain,2.3294999999999998e-07,2.9475e-07,27.067976147668716,22.972972972972983,46.80063458487573,10,0.9785,True
v3,cors_simple,4.409e-07,6.0825e-07,41.10948540029504,31.017423101742313,44.74454197614224,10,0.9785,True
v3,cors_preflight,1.00075e-06,1.1085e-06,10.196808381409461,4.371921182266014,15.40913921360254,10,0.9785,True
v3,recover_no_panic,2.3215e-07,2.8679999999999995e-07,28.13868181746546,18.66048862679022,41.17929050814957,10,0.9785,True
v3,not_found_default,6.472999999999999e-07,3.739e-07,-45.16684454810409,-50.970619097586564,-38.260041276393075,10,0.9785,True
v3,not_found_custom,4.7765e-07,2.794e-07,-40.44937869529055,-47.67993400701176,-36.44646924829157,10,0.9785,True
v3,json_response,6.781500000000001e-07,7.119000000000001e-07,5.76021377297935,-6.522896698615543,8.01291910181481,10,0.9785,False
v3,json_bind,8.3815e-07,9.7175e-07,12.510215607316022,6.6543236767588665,23.315688161693938,10,0.9785,True
v3,json_response_1024,1.297e-06,1.317e-06,3.507340946166382,-0.8928571428571397,4.613095238095233,10,0.9785,False
v3,json_bind_1024,1.7285e-06,1.941e-06,9.742528357242474,4.483324220885732,17.99363057324841,10,0.9785,True
v3,json_response_16384,8.6145e-06,8.4845e-06,-2.6296364290085528,-7.358926410735888,4.943984413054059,10,0.9785,False
v3,json_bind_16384,1.3075e-05,1.31385e-05,1.4136529602177816,-3.65357591894091,8.795857340821245,10,0.9785,False
v3,static_routes_100,5.483e-07,6.316e-07,12.535692065011371,5.557366362451122,23.0590961761298,10,0.9785,True
v3,static_routes_1000,3.618e-06,3.6615e-06,3.5083975135308254,-1.4705882352941124,8.234341252699796,10,0.9785,False
main,fasthttp_floor,9.320499999999999e-08,1.146e-07,24.233234396885184,18.27173347214992,42.546245919477684,10,0.9785,True
main,static,2.1005e-07,2.7070000000000006e-07,30.26692124748054,19.52157197778728,42.097769340294256,10,0.9785,True
main,parameter,2.4834999999999997e-07,2.856e-07,21.144240001164817,14.291615035109452,33.150183150183146,10,0.9785,True
main,wildcard,2.7789999999999997e-07,3.5130000000000003e-07,29.667018239635734,16.093489148580975,39.94045087196938,10,0.9785,True
main,query_lookup,2.8110000000000005e-07,3.5375e-07,28.064274847870195,23.01255230125523,34.17063663923776,10,0.9785,True
main,header_lookup,2.7225e-07,3.5605e-07,31.00312945777435,24.236701290525666,32.48502994011977,10,0.9785,True
main,locals,2.5760000000000003e-07,3.4914999999999997e-07,44.85837181984627,31.37404580152672,54.396092362344596,10,0.9785,True
main,query_bind,1.475e-06,7.0725e-07,-52.85103161587339,-54.72963723477071,-48.578607322325915,10,0.9785,True
main,middleware_chain,2.3294999999999998e-07,2.924e-07,27.629583340140606,15.196285352469374,34.14141414141416,10,0.9785,True
main,cors_simple,4.409e-07,5.6365e-07,26.760482299604504,22.677537009225478,30.66959921798633,10,0.9785,True
main,cors_preflight,1.00075e-06,1.034e-06,4.440227742106595,-0.09950248756218638,5.334626576139678,10,0.9785,False
main,recover_no_panic,2.3215e-07,2.8839999999999996e-07,28.34363622954228,19.85666104553121,36.68224299065421,10,0.9785,True
main,not_found_default,6.472999999999999e-07,3.409e-07,-48.84310607178899,-50.26259758694109,-45.127807900852055,10,0.9785,True
